"country","code","year","consumption"
"Chad","TCD",2019,3.73055
"Chile","CHL",2000,6.55045
"Chile","CHL",2005,7.47088
"Chile","CHL",2010,7.79076
"Chile","CHL",2015,7.75342
"Chile","CHL",2019,6.74572
"China","CHN",2000,3.62488
"China","CHN",2005,3.45674
"China","CHN",2010,5.90146
"China","CHN",2015,7.34536
"China","CHN",2019,5.72525
"Colombia","COL",2000,5.33948
"Colombia","COL",2005,5.22725
"Colombia","COL",2010,5.06869
"Colombia","COL",2015,5.01742
"Colombia","COL",2019,4.91572
"Comoros","COM",2000,0.15673
"Comoros","COM",2005,0.43136
"Comoros","COM",2010,0.19504
"Comoros","COM",2015,0.20396
"Comoros","COM",2019,0.25281
"Congo","COG",2000,2.83255
"Congo","COG",2005,3.02925
"Congo","COG",2010,4.65036
"Congo","COG",2015,5.67254
"Congo","COG",2019,6.39562
"Costa Rica","CRI",2000,4.61119
"Costa Rica","CRI",2005,4.5435
"Costa Rica","CRI",2010,3.9975
"Costa Rica","CRI",2015,3.50244
"Costa Rica","CRI",2019,3.45249
"Cote d'Ivoire","CIV",2000,4.21117
"Cote d'Ivoire","CIV",2005,4.25585
"Cote d'Ivoire","CIV",2010,2.82185
"Cote d'Ivoire","CIV",2015,2.5693
"Cote d'Ivoire","CIV",2019,2.80459
"Croatia","HRV",2000,10.94054
"Croatia","HRV",2005,9.4624
"Croatia","HRV",2010,9.47901
"Croatia","HRV",2015,8.59113
"Croatia","HRV",2019,8.54359
"Cuba","CUB",2000,5.43431
"Cuba","CUB",2005,5.75006
"Cuba","CUB",2010,5.49872
"Cuba","CUB",2015,5.85164
"Cuba","CUB",2019,6.01384
"Cyprus","CYP",2000,8.86417
"Cyprus","CYP",2005,9.88054
"Cyprus","CYP",2010,9.1191
"Cyprus","CYP",2015,8.11866
"Cyprus","CYP",2019,8.05289
"Czechia","CZE",2000,14.22081
"Czechia","CZE",2005,13.9892
"Czechia","CZE",2010,13.3274
"Czechia","CZE",2015,13.21968
"Czechia","CZE",2019,13.28805
"Democratic Republic of Congo","COD",2000,8.29227
"Democratic Republic of Congo","COD",2005,5.52034
"Democratic Republic of Congo","COD",2010,3.06342
"Democratic Republic of Congo","COD",2015,2.44432
"Democratic Republic of Congo","COD",2019,2.11786
"Denmark","DNK",2000,11.68806
"Denmark","DNK",2005,11.32966
"Denmark","DNK",2010,10.38865
"Denmark","DNK",2015,9.61349
"Denmark","DNK",2019,9.40172
"Djibouti","DJI",2000,0.65219
"Djibouti","DJI",2005,0.67377
"Djibouti","DJI",2010,0.69242
"Djibouti","DJI",2015,0.53441
"Djibouti","DJI",2019,0.40234
"Dominica","DMA",2000,8.11513
"Dominica","DMA",2005,7.9088
"Dominica","DMA",2010,6.55489
"Dominica","DMA",2015,6.3121
"Dominica","DMA",2019,6.09709
"Dominican Republic","DOM",2000,7.90557
"Dominican Republic","DOM",2005,6.96088
"Dominican Republic","DOM",2010,6.83664
"Dominican Republic","DOM",2015,6.57202
"Dominican Republic","DOM",2019,6.76339
"East Timor","TLS",2000,0.54794
"East Timor","TLS",2005,0.3132
"East Timor","TLS",2010,0.29577
"East Timor","TLS",2015,0.47328
"East Timor","TLS",2019,0.40188
"Ecuador","ECU",2000,4.17153
"Ecuador","ECU",2005,3.76136
"Ecuador","ECU",2010,4.12051
"Ecuador","ECU",2015,3.84909
"Ecuador","ECU",2019,3.25713
"Egypt","EGY",2000,0.13731
"Egypt","EGY",2005,0.15779
"Egypt","EGY",2010,0.20168
"Egypt","EGY",2015,0.17949
"Egypt","EGY",2019,0.14772
"El Salvador","SLV",2000,3.14422
"El Salvador","SLV",2005,3.09464
"El Salvador","SLV",2010,2.70792
"El Salvador","SLV",2015,2.88672
"El Salvador","SLV",2019,3.28108
"Equatorial Guinea","GNQ",2000,7.75002
"Equatorial Guinea","GNQ",2005,9.11411
"Equatorial Guinea","GNQ",2010,9.16365
"Equatorial Guinea","GNQ",2015,8.71247
"Equatorial Guinea","GNQ",2019,6.94451
"Eritrea","ERI",2000,1.00396
"Eritrea","ERI",2005,1.24925
"Eritrea","ERI",2010,1.44598
"Eritrea","ERI",2015,1.32212
"Eritrea","ERI",2019,1.22926
"Estonia","EST",2000,10.45458
"Estonia","EST",2005,15.25045
"Estonia","EST",2010,14.22937
"Estonia","EST",2015,15.05872
"Estonia","EST",2019,11.26302
"Eswatini","SWZ",2000,9.42971
"Eswatini","SWZ",2005,8.09138
"Eswatini","SWZ",2010,7.15288
"Eswatini","SWZ",2015,7.7307
"Eswatini","SWZ",2019,8.09183
"Ethiopia","ETH",2000,1.20279
"Ethiopia","ETH",2005,1.39794
"Ethiopia","ETH",2010,1.66882
"Ethiopia","ETH",2015,2.51883
"Ethiopia","ETH",2019,3.36259
"Fiji","FJI",2000,2.40679
"Fiji","FJI",2005,2.67437
"Fiji","FJI",2010,2.84961
"Fiji","FJI",2015,3.05805
"Fiji","FJI",2019,3.44896
"Finland","FIN",2000,10.00369
"Finland","FIN",2005,10.94859
"Finland","FIN",2010,10.73588
"Finland","FIN",2015,9.43487
"Finland","FIN",2019,9.15577
"France","FRA",2000,13.71902
"France","FRA",2005,12.81452
"France","FRA",2010,12.25158
"France","FRA",2015,11.72756
"France","FRA",2019,11.30123
"Gabon","GAB",2000,9.64371
"Gabon","GAB",2005,8.89378
"Gabon","GAB",2010,8.91396
"Gabon","GAB",2015,8.60308
"Gabon","GAB",2019,7.33414
"Gambia","GMB",2000,3.73916
"Gambia","GMB",2005,3.82935
"Gambia","GMB",2010,3.16961
"Gambia","GMB",2015,2.07011
"Gambia","GMB",2019,1.11406
"Georgia","GEO",2000,10.56528
"Georgia","GEO",2005,12.26199
"Georgia","GEO",2010,14.83722
"Georgia","GEO",2015,13.94713
"Georgia","GEO",2019,14.32856
"Germany","DEU",2000,13.81996
"Germany","DEU",2005,13.00788
"Germany","DEU",2010,12.41432
"Germany","DEU",2015,12.14919
"Germany","DEU",2019,12.21997
"Ghana","GHA",2000,5.32188
"Ghana","GHA",2005,5.10609
"Ghana","GHA",2010,5.45291
"Ghana","GHA",2015,5.00805
"Ghana","GHA",2019,4.54779
"Greece","GRC",2000,8.72506
"Greece","GRC",2005,9.27097
"Greece","GRC",2010,8.71981
"Greece","GRC",2015,7.4752
"Greece","GRC",2019,7.11519
"Grenada","GRD",2000,7.6851
"Grenada","GRD",2005,7.93838
"Grenada","GRD",2010,7.55081
"Grenada","GRD",2015,7.76515
"Grenada","GRD",2019,8.05902
"Guatemala","GTM",2000,2.41236
"Guatemala","GTM",2005,2.27228
"Guatemala","GTM",2010,2.04364
"Guatemala","GTM",2015,1.64841
"Guatemala","GTM",2019,1.62539
"Guinea","GIN",2000,0.29239
"Guinea","GIN",2005,0.35966
"Guinea","GIN",2010,0.30785
"Guinea","GIN",2015,0.49733
"Guinea","GIN",2019,0.46907
"Guinea-Bissau","GNB",2000,4.147
"Guinea-Bissau","GNB",2005,4.44712
"Guinea-Bissau","GNB",2010,3.88285
"Guinea-Bissau","GNB",2015,3.98813
"Guinea-Bissau","GNB",2019,4.14307
"Guyana","GUY",2000,5.38478
"Guyana","GUY",2005,5.82427
"Guyana","GUY",2010,5.76731
"Guyana","GUY",2015,5.74604
"Guyana","GUY",2019,5.34695
"Haiti","HTI",2000,4.14456
"Haiti","HTI",2005,4.01783
"Haiti","HTI",2010,3.1354
"Haiti","HTI",2015,3.2231
"Haiti","HTI",2019,3.45064
"Honduras","HND",2000,3.09442
"Honduras","HND",2005,3.39414
"Honduras","HND",2010,3.1297
"Honduras","HND",2015,2.85145
"Honduras","HND",2019,3.1686
"Hungary","HUN",2000,12.38419
"Hungary","HUN",2005,12.58286
"Hungary","HUN",2010,10.83775
"Hungary","HUN",2015,10.67668
"Hungary","HUN",2019,10.59925
"Iceland","ISL",2000,6.91687
"Iceland","ISL",2005,7.52491
"Iceland","ISL",2010,7.47418
"Iceland","ISL",2015,7.84791
"Iceland","ISL",2019,8.07439
"India","IND",2000,1.97474
"India","IND",2005,2.38698
"India","IND",2010,4.61673
"India","IND",2015,4.95978
"India","IND",2019,4.92498
"Indonesia","IDN",2000,0.08298
"Indonesia","IDN",2005,0.08199
"Indonesia","IDN",2010,0.10398
"Indonesia","IDN",2015,0.11112
"Indonesia","IDN",2019,0.11037
"Iran","IRN",2000,0.02131
"Iran","IRN",2005,0.08456
"Iran","IRN",2010,1.1239
"Iran","IRN",2015,0.43723
"Iran","IRN",2019,0.70015
"Iraq","IRQ",2000,0.18899
"Iraq","IRQ",2005,0.14291
"Iraq","IRQ",2010,0.23983
"Iraq","IRQ",2015,0.2307
"Iraq","IRQ",2019,0.24048
"Ireland","IRL",2000,15.03272
"Ireland","IRL",2005,14.14072
"Ireland","IRL",2010,12.21442
"Ireland","IRL",2015,11.71409
"Ireland","IRL",2019,11.7039
"Israel","ISR",2000,2.92545
"Israel","ISR",2005,2.8461
"Israel","ISR",2010,3.16162
"Israel","ISR",2015,2.94125
"Israel","ISR",2019,3.00583
"Italy","ITA",2000,9.95187
"Italy","ITA",2005,8.31721
"Italy","ITA",2010,7.21902
"Italy","ITA",2015,7.67835
"Italy","ITA",2019,7.96607
"Jamaica","JAM",2000,3.33738
"Jamaica","JAM",2005,3.13045
"Jamaica","JAM",2010,3.04422
"Jamaica","JAM",2015,3.38755
"Jamaica","JAM",2019,3.60021
"Japan","JPN",2000,7.65855
"Japan","JPN",2005,7.41497
"Japan","JPN",2010,6.77009
"Japan","JPN",2015,6.71821
"Japan","JPN",2019,6.68016
"Jordan","JOR",2000,0.49358
"Jordan","JOR",2005,0.5001
"Jordan","JOR",2010,0.47996
"Jordan","JOR",2015,0.36628
"Jordan","JOR",2019,0.30566
"Kazakhstan","KAZ",2000,6.64084
"Kazakhstan","KAZ",2005,7.4132
"Kazakhstan","KAZ",2010,4.20016
"Kazakhstan","KAZ",2015,4.17174
"Kazakhstan","KAZ",2019,4.52228
"Kenya","KEN",2000,2.15626
"Kenya","KEN",2005,2.15478
"Kenya","KEN",2010,2.51236
"Kenya","KEN",2015,2.781
"Kenya","KEN",2019,2.86537
"Kiribati","KIR",2000,1.46528
"Kiribati","KIR",2005,1.11892
"Kiribati","KIR",2010,0.65397
"Kiribati","KIR",2015,0.70904
"Kiribati","KIR",2019,0.75599
"Kuwait","KWT",2000,0
"Kuwait","KWT",2005,0
"Kuwait","KWT",2010,0
"Kuwait","KWT",2015,0
"Kuwait","KWT",2019,0
"Kyrgyzstan","KGZ",2000,5.53183
"Kyrgyzstan","KGZ",2005,6.74098
"Kyrgyzstan","KGZ",2010,6.3873
"Kyrgyzstan","KGZ",2015,6.16956
"Kyrgyzstan","KGZ",2019,4.95335
"Laos","LAO",2000,8.17678
"Laos","LAO",2005,7.82161
"Laos","LAO",2010,10.41566
"Laos","LAO",2015,11.30905
"Laos","LAO",2019,11.52024
"Latvia","LVA",2000,8.89898
"Latvia","LVA",2005,10.86991
"Latvia","LVA",2010,10.99456
"Latvia","LVA",2015,11.60985
"Latvia","LVA",2019,13.09042
"Lebanon","LBN",2000,2.28251
"Lebanon","LBN",2005,1.93744
"Lebanon","LBN",2010,1.81577
"Lebanon","LBN",2015,1.53351
"Lebanon","LBN",2019,1.48062
"Lesotho","LSO",2000,3.75571
"Lesotho","LSO",2005,3.64693
"Lesotho","LSO",2010,3.38959
"Lesotho","LSO",2015,3.28338
"Lesotho","LSO",2019,4.54072
"Liberia","LBR",2000,4.49717
"Liberia","LBR",2005,4.32343
"Liberia","LBR",2010,3.89923
"Liberia","LBR",2015,3.62643
"Liberia","LBR",2019,3.64307
"Libya","LBY",2000,0.00703
"Libya","LBY",2005,0.02729
"Libya","LBY",2010,0.00691
"Libya","LBY",2015,0.01084
"Libya","LBY",2019,0.0084
"Lithuania","LTU",2000,11.5037
"Lithuania","LTU",2005,13.52593
"Lithuania","LTU",2010,14.05427
"Lithuania","LTU",2015,14.1729
"Lithuania","LTU",2019,11.7853
"Luxembourg","LUX",2000,13.65228
"Luxembourg","LUX",2005,12.74918
"Luxembourg","LUX",2010,12.13358
"Luxembourg","LUX",2015,11.71343
"Luxembourg","LUX",2019,11.5288
"Madagascar","MDG",2000,1.46215
"Madagascar","MDG",2005,0.93599
"Madagascar","MDG",2010,1.06442
"Madagascar","MDG",2015,1.00935
"Madagascar","MDG",2019,1.02054
"Malawi","MWI",2000,3.00077
"Malawi","MWI",2005,3.13159
"Malawi","MWI",2010,3.57067
"Malawi","MWI",2015,3.37375
"Malawi","MWI",2019,3.23678
"Malaysia","MYS",2000,0.62349
"Malaysia","MYS",2005,0.58713
"Malaysia","MYS",2010,0.60138
"Malaysia","MYS",2015,0.65486
"Malaysia","MYS",2019,0.75939
"Maldives","MDV",2000,1.74565
"Maldives","MDV",2005,1.36587
"Maldives","MDV",2010,1.55865
"Maldives","MDV",2015,1.35468
"Maldives","MDV",2019,1.42565
"Mali","MLI",2000,0.81598
"Mali","MLI",2005,0.77394
"Mali","MLI",2010,3.4041
"Mali","MLI",2015,4.58867
"Mali","MLI",2019,4.34772
"Malta","MLT",2000,5.69825
"Malta","MLT",2005,6.76578
"Malta","MLT",2010,6.90897
"Malta","MLT",2015,7.71665
"Malta","MLT",2019,8.52383
"Mauritania","MRT",2000,0
"Mauritania","MRT",2005,0
"Mauritania","MRT",2010,0
"Mauritania","MRT",2015,0
"Mauritania","MRT",2019,0
"Mauritius","MUS",2000,8.0134
"Mauritius","MUS",2005,7.86182
"Mauritius","MUS",2010,7.67242
"Mauritius","MUS",2015,7.40097
"Mauritius","MUS",2019,7.52215
"Mexico","MEX",2000,6.16331
"Mexico","MEX",2005,6.19044
"Mexico","MEX",2010,5.23485
"Mexico","MEX",2015,5.15441
"Mexico","MEX",2019,5.71942
"Micronesia (country)","FSM",2000,3.38574
"Micronesia (country)","FSM",2005,2.51241
"Micronesia (country)","FSM",2010,2.49966
"Micronesia (country)","FSM",2015,2.09332
"Micronesia (country)","FSM",2019,2.12472
"Moldova","MDA",2000,10.36363
"Moldova","MDA",2005,12.94856
"Moldova","MDA",2010,11.4277
"Moldova","MDA",2015,11.34843
"Moldova","MDA",2019,11.36078
"Mongolia","MNG",2000,2.83312
"Mongolia","MNG",2005,4.50856
"Mongolia","MNG",2010,7.7572
"Mongolia","MNG",2015,9.65784
"Mongolia","MNG",2019,7.93383
"Montenegro","MNE",2010,10.3988
"Montenegro","MNE",2015,9.55367
"Montenegro","MNE",2019,10.34273
"Morocco","MAR",2000,0.46336
"Morocco","MAR",2005,0.48119
"Morocco","MAR",2010,0.50344
"Morocco","MAR",2015,0.40654
"Morocco","MAR",2019,0.48891
"Mozambique","MOZ",2000,1.09
"Mozambique","MOZ",2005,1.04532
"Mozambique","MOZ",2010,1.23083
"Mozambique","MOZ",2015,1.75973
"Mozambique","MOZ",2019,2.02949
"Myanmar","MMR",2000,0.37324
"Myanmar","MMR",2005,0.7068
"Myanmar","MMR",2010,1.09515
"Myanmar","MMR",2015,1.61673
"Myanmar","MMR",2019,2.11591
"Namibia","NAM",2000,4.65141
"Namibia","NAM",2005,4.45443
"Namibia","NAM",2010,4.95945
"Namibia","NAM",2015,6.00647
"Namibia","NAM",2019,5.92607
"Nauru","NRU",2000,4.46581
"Nauru","NRU",2005,2.75773
"Nauru","NRU",2010,4.1628
"Nauru","NRU",2015,2.94498
"Nauru","NRU",2019,2.94225
"Nepal","NPL",2000,0.19932
"Nepal","NPL",2005,0.31087
"Nepal","NPL",2010,0.95337
"Nepal","NPL",2015,1.21792
"Nepal","NPL",2019,1.36347
"Netherlands","NLD",2000,11.13971
"Netherlands","NLD",2005,10.74507
"Netherlands","NLD",2010,10.19669
"Netherlands","NLD",2015,9.3835
"Netherlands","NLD",2019,9.30324
"New Zealand","NZL",2000,9.77084
"New Zealand","NZL",2005,10.15271
"New Zealand","NZL",2010,10.27561
"New Zealand","NZL",2015,9.69342
"New Zealand","NZL",2019,9.88698
"Nicaragua","NIC",2000,3.92988
"Nicaragua","NIC",2005,4.1123
"Nicaragua","NIC",2010,3.74944
"Nicaragua","NIC",2015,4.11369
"Nicaragua","NIC",2019,4.17178
"Niger","NER",2000,0.13822
"Niger","NER",2005,0.1403
"Niger","NER",2010,0.1657
"Niger","NER",2015,0.1825
"Niger","NER",2019,0.13121
"Nigeria","NGA",2000,7.93168
"Nigeria","NGA",2005,7.90863
"Nigeria","NGA",2010,5.06426
"Nigeria","NGA",2015,4.38764
"Nigeria","NGA",2019,4.21026
"North Korea","PRK",2000,3.873
"North Korea","PRK",2005,4.08559
"North Korea","PRK",2010,4.42827
"North Korea","PRK",2015,4.44885
"North Korea","PRK",2019,4.28537
"North Macedonia","MKD",2000,4.46226
"North Macedonia","MKD",2005,4.75787
"North Macedonia","MKD",2010,4.32093
"North Macedonia","MKD",2015,4.29946
"North Macedonia","MKD",2019,4.61578
"Norway","NOR",2000,6.6346
"Norway","NOR",2005,7.26719
"Norway","NOR",2010,7.42912
"Norway","NOR",2015,6.82976
"Norway","NOR",2019,6.80397
"Oman","OMN",2000,0.81881
"Oman","OMN",2005,1.0419
"Oman","OMN",2010,0.88015
"Oman","OMN",2015,0.80973
"Oman","OMN",2019,0.87812
"Pakistan","PAK",2000,0.03306
"Pakistan","PAK",2005,0.05025
"Pakistan","PAK",2010,0.0792
"Pakistan","PAK",2015,0.09552
"Pakistan","PAK",2019,0.10347
"Panama","PAN",2000,5.37223
"Panama","PAN",2005,5.38225
"Panama","PAN",2010,6.50525
"Panama","PAN",2015,6.59
"Panama","PAN",2019,6.5962
"Papua New Guinea","PNG",2000,2.17703
"Papua New Guinea","PNG",2005,1.87577
"Papua New Guinea","PNG",2010,1.401
"Papua New Guinea","PNG",2015,1.72634
"Papua New Guinea","PNG",2019,1.69582
"Paraguay","PRY",2000,5.67541
"Paraguay","PRY",2005,5.88308
"Paraguay","PRY",2010,6.37117
"Paraguay","PRY",2015,5.41486
"Paraguay","PRY",2019,5.60061
"Peru","PER",2000,6.02938
"Peru","PER",2005,6.17756
"Peru","PER",2010,7.53994
"Peru","PER",2015,7.54729
"Peru","PER",2019,7.45063
"Philippines","PHL",2000,5.82457
"Philippines","PHL",2005,5.63677
"Philippines","PHL",2010,6.1214
"Philippines","PHL",2015,5.85233
"Philippines","PHL",2019,6.1811
"Poland","POL",2000,9.6517
"Poland","POL",2005,10.71499
"Poland","POL",2010,11.30438
"Poland","POL",2015,11.46278
"Poland","POL",2019,11.62513
"Portugal","PRT",2000,12.77447
"Portugal","PRT",2005,12.17916
"Portugal","PRT",2010,11.40099
"Portugal","PRT",2015,10.53851
"Portugal","PRT",2019,10.44538
"Qatar","QAT",2000,0.94173
"Qatar","QAT",2005,1.30372
"Qatar","QAT",2010,1.17065
"Qatar","QAT",2015,1.16877
"Qatar","QAT",2019,1.14628
"Romania","ROU",2000,19.04727
"Romania","ROU",2005,18.31993
"Romania","ROU",2010,17.61868
"Romania","ROU",2015,16.85203
"Romania","ROU",2019,16.98964
"Russia","RUS",2000,13.85576
"Russia","RUS",2005,14.50008
"Russia","RUS",2010,13.75669
"Russia","RUS",2015,11.63634
"Russia","RUS",2019,10.42279
"Rwanda","RWA",2000,1.42785
"Rwanda","RWA",2005,1.3965
"Rwanda","RWA",2010,1.24794
"Rwanda","RWA",2015,1.37332
"Rwanda","RWA",2019,1.87832
"Saint Kitts and Nevis","KNA",2000,6.45746
"Saint Kitts and Nevis","KNA",2005,7.78943
"Saint Kitts and Nevis","KNA",2010,6.46794
"Saint Kitts and Nevis","KNA",2015,6.11651
"Saint Kitts and Nevis","KNA",2019,6.34118
"Saint Lucia","LCA",2000,10.34978
"Saint Lucia","LCA",2005,11.53567
"Saint Lucia","LCA",2010,9.59824
"Saint Lucia","LCA",2015,8.63178
"Saint Lucia","LCA",2019,9.47123
"Saint Vincent and the Grenadines","VCT",2000,4.5908
"Saint Vincent and the Grenadines","VCT",2005,5.39126
"Saint Vincent and the Grenadines","VCT",2010,6.65703
"Saint Vincent and the Grenadines","VCT",2015,7.00715
"Saint Vincent and the Grenadines","VCT",2019,7.15801
"Samoa","WSM",2000,4.04168
"Samoa","WSM",2005,3.88371
"Samoa","WSM",2010,2.59398
"Samoa","WSM",2015,2.18089
"Samoa","WSM",2019,2.39054
"Sao Tome and Principe","STP",2000,6.73692
"Sao Tome and Principe","STP",2005,7.25627
"Sao Tome and Principe","STP",2010,5.91618
"Sao Tome and Principe","STP",2015,5.92774
"Sao Tome and Principe","STP",2019,5.00744
"Saudi Arabia","SAU",2000,0
"Saudi Arabia","SAU",2005,0
"Saudi Arabia","SAU",2010,0
"Saudi Arabia","SAU",2015,0
"Saudi Arabia","SAU",2019,0
"Senegal","SEN",2000,0.47277
"Senegal","SEN",2005,0.47006
"Senegal","SEN",2010,0.41237
"Senegal","SEN",2015,0.37351
"Senegal","SEN",2019,0.40913
"Serbia","SRB",2010,9.93455
"Serbia","SRB",2015,7.84315
"Serbia","SRB",2019,7.88971
"Seychelles","SYC",2000,7.41475
"Seychelles","SYC",2005,8.08049
"Seychelles","SYC",2010,7.76804
"Seychelles","SYC",2015,12.03243
"Seychelles","SYC",2019,11.98621
"Sierra Leone","SLE",2000,0.22448
"Sierra Leone","SLE",2005,0.22447
"Sierra Leone","SLE",2010,0.31206
"Sierra Leone","SLE",2015,0.30534
"Sierra Leone","SLE",2019,0.26448
"Singapore","SGP",2000,2.27639
"Singapore","SGP",2005,1.61736
"Singapore","SGP",2010,1.92265
