"country_name","trust_people","sei","mwbi","wlbc"
"Austria",5.20174587778856,1.86230079681275,66.3307392996109,1.65112262521589
"Belgium",5.47373637264618,2.32971745711403,64.9337289812067,1.62084257206208
"Bulgaria",4.5178026449644,2.75874316939891,60.5450733752622,1.89320388349515
"Cyprus",1.83980099502488,2.96032157676349,59.0508474576272,2.03836930455636
"Czech Republic",4.01086956521739,2.46910695742471,62.04995004995,1.82271944922547
"Germany",5.01314492277358,1.82782033426184,65.8487949818422,1.58161648177496
"Denmark",7.00978473581213,1.55243161094225,71.3927522037219,1.48362235067437
"Estonia",4.78557114228457,2.3981288981289,57.0721649484536,1.76225490196078
"Greece",4.282,2.53060699588477,57.4850299401198,1.9556135770235
"Spain",5.41235059760956,1.9580525606469,64.9314703925483,1.94607843137255
"Finland",7.17288801571709,1.96868686868687,66.4891518737673,1.54832347140039
"France",5.32342502218279,2.21324843610366,60.8802129547471,1.71454058876004
"Hungary",4.33366045142296,2.17098445595855,61.0470588235294,1.85991379310345
"Ireland",5.54095238095238,2.2316141356256,64.7526265520535,1.69392033542977
"Italy",4.82820169567158,2.25431425976385,63.4590237348858,1.52122408687068
"Lithuania",4.54118689105403,2.42328170377541,55.6889692585894,1.5534188034188
"Luxembourg",5.92384769539078,2.11427094105481,63.0941883767535,1.67955801104972
"Latvia",4.07577268195414,2.41755319148936,54.8676171079429,1.97142857142857
"Malta",4.65423387096774,2.36001131221719,57.5766129032258,1.84501061571125
"Poland",4.74123391034177,2.43959414818311,57.936247723133,1.92008639308855
"Portugal",4.2001982160555,2.14883367139959,63.7301587301587,1.70076726342711
"Romania",4.94587458745875,2.43477496483826,55.2180851063829,1.80106571936057
"Sweden",6.40578265204387,1.86050156739812,64.444,1.62386980108499
"Slovenia",5.24676616915423,2.12013319672131,58.3056943056943,1.62529832935561
"Slovakia",4.13184584178499,2.23155080213904,57.8318135764945,1.6843137254902
"United Kingdom",5.49775985663083,2.32361111111111,58.4560464078536,1.79459980713597
"Croatia",4.58984771573604,2.36002120890774,61.4519716885743,1.96805896805897
"North Macedonia",3.53596757852077,2.4097995545657,68.2507583417593,1.92805755395683
"Iceland",6.33467336683417,1.79230769230769,69.1474747474747,1.58892128279883
"Montenegro",4.86008230452675,2.30443107221007,67.0408163265306,2.02652519893899
"Serbia",4.53259779338014,2.50239361702128,55.1129196337742,2.06615776081425
